epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1489.49,0.5915,1.20392,0.53965,0.91735,0.96547,0.90339,0.95115,0.83281,0.94857,0.88797,0.92736,0.69453,0.50811,1.18255,0.43299,0.85762,0.000374985,0.000374985,0.000374985
31,1538.81,0.57906,1.18037,0.53405,0.9093,0.96674,0.89511,0.94968,0.8291,0.94725,0.88129,0.91957,0.69711,0.52375,1.20344,0.44071,0.85743,0.000369778,0.000369778,0.000369778
32,1587.81,0.58453,1.17449,0.52991,0.91373,0.94741,0.91621,0.95282,0.82783,0.92681,0.90391,0.92874,0.69389,0.53113,1.17151,0.43484,0.85763,0.000364571,0.000364571,0.000364571
33,1636.8,0.57871,1.16663,0.52166,0.91187,0.95442,0.91383,0.94905,0.83361,0.94186,0.89781,0.92476,0.70061,0.50902,1.18957,0.43231,0.85283,0.000359363,0.000359363,0.000359363
34,1686.18,0.58019,1.16312,0.51489,0.91087,0.96106,0.90974,0.95519,0.83154,0.94404,0.89382,0.9293,0.70066,0.51991,1.16667,0.42545,0.85239,0.000354156,0.000354156,0.000354156
35,1735.24,0.56684,1.14155,0.503,0.90446,0.96296,0.90817,0.95203,0.83817,0.94822,0.89149,0.92294,0.70198,0.50505,1.16872,0.4213,0.85104,0.000348948,0.000348948,0.000348948
36,1784.27,0.57235,1.15825,0.51389,0.9078,0.95197,0.90569,0.95258,0.83461,0.92809,0.88445,0.92032,0.69671,0.51911,1.17675,0.43686,0.8557,0.000343741,0.000343741,0.000343741
37,1833.49,0.56501,1.12826,0.50499,0.90535,0.96305,0.90454,0.95322,0.83646,0.95629,0.88712,0.93361,0.70506,0.51145,1.16576,0.42457,0.86088,0.000338534,0.000338534,0.000338534
38,1882.55,0.57165,1.1518,0.50605,0.90764,0.97521,0.89853,0.9555,0.83917,0.95669,0.88301,0.93417,0.71196,0.51979,1.13712,0.42849,0.8563,0.000333326,0.000333326,0.000333326
39,1932,0.56002,1.12999,0.50378,0.90376,0.95855,0.89838,0.95036,0.83072,0.93457,0.87791,0.92326,0.68955,0.51452,1.17984,0.43178,0.8608,0.000328119,0.000328119,0.000328119
40,1981.25,0.55865,1.13189,0.48848,0.9032,0.94867,0.91899,0.95097,0.83776,0.9338,0.90377,0.92811,0.69921,0.51016,1.14505,0.4177,0.85126,0.000322911,0.000322911,0.000322911
41,2030.53,0.56217,1.1322,0.49061,0.90157,0.96175,0.90871,0.95372,0.84356,0.94624,0.88978,0.9286,0.70493,0.49643,1.13988,0.41382,0.84974,0.000317704,0.000317704,0.000317704
42,2079.75,0.56509,1.13724,0.49501,0.90805,0.95803,0.92003,0.95475,0.83987,0.95712,0.88993,0.92452,0.70445,0.50007,1.13964,0.40489,0.85645,0.000312497,0.000312497,0.000312497
43,2129.11,0.55872,1.12653,0.48333,0.90129,0.96433,0.91191,0.95504,0.84341,0.94326,0.89462,0.93253,0.70776,0.49018,1.11035,0.39802,0.84906,0.000307289,0.000307289,0.000307289
44,2178.93,0.55045,1.08372,0.47404,0.89794,0.95662,0.92467,0.95518,0.8423,0.94928,0.90732,0.93427,0.70071,0.50967,1.12748,0.39748,0.85489,0.000302082,0.000302082,0.000302082
45,2228.12,0.54377,1.10258,0.46728,0.8985,0.97501,0.92223,0.95947,0.8471,0.96088,0.90897,0.93776,0.71883,0.49395,1.12039,0.40171,0.85083,0.000296874,0.000296874,0.000296874
46,2277.65,0.55164,1.10391,0.47314,0.90029,0.98537,0.90361,0.95787,0.84876,0.95471,0.89719,0.9346,0.71443,0.4979,1.15026,0.39606,0.85417,0.000291667,0.000291667,0.000291667
47,2326.98,0.54144,1.08803,0.46628,0.89612,0.96139,0.92618,0.96093,0.84385,0.94639,0.90509,0.93706,0.71152,0.51276,1.15392,0.39511,0.85185,0.00028646,0.00028646,0.00028646
